O*NET-SOC Code,title,Element ID,Element Name,IM,LV
17-3027.00,Mechanical Engineering Technicians,2.A.1.d,Speaking,3.62,3.75
17-3027.00,Mechanical Engineering Technicians,2.A.1.e,Mathematics,3.25,3.38
17-3027.00,Mechanical Engineering Technicians,2.A.1.f,Science,3,3.25
17-3027.00,Mechanical Engineering Technicians,2.A.2.a,Critical Thinking,3.75,3.88
17-3027.00,Mechanical Engineering Technicians,2.A.2.b,Active Learning,3.12,3.25
17-3027.00,Mechanical Engineering Technicians,2.A.2.c,Learning Strategies,2.75,3
17-3027.00,Mechanical Engineering Technicians,2.A.2.d,Monitoring,3.12,3.12
17-3027.00,Mechanical Engineering Technicians,2.B.1.a,Social Perceptiveness,3,3.12
17-3027.00,Mechanical Engineering Technicians,2.B.1.b,Coordination,3,3.12
17-3027.00,Mechanical Engineering Technicians,2.B.1.c,Persuasion,3,3
17-3027.00,Mechanical Engineering Technicians,2.B.1.d,Negotiation,2.75,2.5
17-3027.00,Mechanical Engineering Technicians,2.B.1.e,Instructing,2.75,3
17-3027.00,Mechanical Engineering Technicians,2.B.1.f,Service Orientation,2.88,2.75
17-3027.00,Mechanical Engineering Technicians,2.B.2.i,Complex Problem Solving,3.62,3.5
17-3027.00,Mechanical Engineering Technicians,2.B.3.a,Operations Analysis,2.62,3
17-3027.00,Mechanical Engineering Technicians,2.B.3.b,Technology Design,2.38,2.38
17-3027.00,Mechanical Engineering Technicians,2.B.3.c,Equipment Selection,2.75,2.75
17-3027.00,Mechanical Engineering Technicians,2.B.3.d,Installation,1.38,0.5
17-3027.00,Mechanical Engineering Technicians,2.B.3.e,Programming,2,1.38
17-3027.00,Mechanical Engineering Technicians,2.B.3.g,Operations Monitoring,3.5,3.25
17-3027.00,Mechanical Engineering Technicians,2.B.3.h,Operation and Control,3,3
17-3027.00,Mechanical Engineering Technicians,2.B.3.j,Equipment Maintenance,2.62,2.88
17-3027.00,Mechanical Engineering Technicians,2.B.3.k,Troubleshooting,2.88,3.25
17-3027.00,Mechanical Engineering Technicians,2.B.3.l,Repairing,2.62,2.88
17-3027.00,Mechanical Engineering Technicians,2.B.3.m,Quality Control Analysis,3.25,3.25
17-3027.00,Mechanical Engineering Technicians,2.B.4.e,Judgment and Decision Making,3.38,3.38
17-3027.00,Mechanical Engineering Technicians,2.B.4.g,Systems Analysis,3.25,3.25
17-3027.00,Mechanical Engineering Technicians,2.B.4.h,Systems Evaluation,3.12,3.25
17-3027.00,Mechanical Engineering Technicians,2.B.5.a,Time Management,3.12,3.12
17-3027.00,Mechanical Engineering Technicians,2.B.5.b,Management of Financial Resources,1.88,1.25
17-3027.00,Mechanical Engineering Technicians,2.B.5.c,Management of Material Resources,2,1.25
17-3027.00,Mechanical Engineering Technicians,2.B.5.d,Management of Personnel Resources,2.62,2.75
17-3027.01,Automotive Engineering Technicians,2.A.1.a,Reading Comprehension,3.62,4
17-3027.01,Automotive Engineering Technicians,2.A.1.b,Active Listening,3.25,3.38
17-3027.01,Automotive Engineering Technicians,2.A.1.c,Writing,3.25,3.25
17-3027.01,Automotive Engineering Technicians,2.A.1.d,Speaking,3.5,3.38
17-3027.01,Automotive Engineering Technicians,2.A.1.e,Mathematics,3.12,3.38
17-3027.01,Automotive Engineering Technicians,2.A.1.f,Science,2.62,3
17-3027.01,Automotive Engineering Technicians,2.A.2.a,Critical Thinking,3.5,3.38
17-3027.01,Automotive Engineering Technicians,2.A.2.b,Active Learning,3,3.12
17-3027.01,Automotive Engineering Technicians,2.A.2.c,Learning Strategies,2.38,2.62
17-3027.01,Automotive Engineering Technicians,2.A.2.d,Monitoring,3.12,3.38
17-3027.01,Automotive Engineering Technicians,2.B.1.a,Social Perceptiveness,3,2.5
17-3027.01,Automotive Engineering Technicians,2.B.1.b,Coordination,3,3
17-3027.01,Automotive Engineering Technicians,2.B.1.c,Persuasion,2.38,2.62
17-3027.01,Automotive Engineering Technicians,2.B.1.d,Negotiation,2.38,2.25
17-3027.01,Automotive Engineering Technicians,2.B.1.e,Instructing,2.38,2.62
17-3027.01,Automotive Engineering Technicians,2.B.1.f,Service Orientation,2.5,2.12
17-3027.01,Automotive Engineering Technicians,2.B.2.i,Complex Problem Solving,3.25,3.25
17-3027.01,Automotive Engineering Technicians,2.B.3.a,Operations Analysis,2.25,2.25
17-3027.01,Automotive Engineering Technicians,2.B.3.b,Technology Design,2,1.75
17-3027.01,Automotive Engineering Technicians,2.B.3.c,Equipment Selection,2.88,2.88
17-3027.01,Automotive Engineering Technicians,2.B.3.d,Installation,2.38,2.38
17-3027.01,Automotive Engineering Technicians,2.B.3.e,Programming,2.12,1.88
17-3027.01,Automotive Engineering Technicians,2.B.3.g,Operations Monitoring,3.25,3
17-3027.01,Automotive Engineering Technicians,2.B.3.h,Operation and Control,2.88,2.88
17-3027.01,Automotive Engineering Technicians,2.B.3.j,Equipment Maintenance,3,3
17-3027.01,Automotive Engineering Technicians,2.B.3.k,Troubleshooting,3,3.12
17-3027.01,Automotive Engineering Technicians,2.B.3.l,Repairing,3.12,3.12
17-3027.01,Automotive Engineering Technicians,2.B.3.m,Quality Control Analysis,3.25,3.25
17-3027.01,Automotive Engineering Technicians,2.B.4.e,Judgment and Decision Making,3.12,3.25
17-3027.01,Automotive Engineering Technicians,2.B.4.g,Systems Analysis,2.62,2.88
17-3027.01,Automotive Engineering Technicians,2.B.4.h,Systems Evaluation,2.88,2.88
17-3027.01,Automotive Engineering Technicians,2.B.5.a,Time Management,2.88,2.62
17-3027.01,Automotive Engineering Technicians,2.B.5.b,Management of Financial Resources,1.75,1.5
17-3027.01,Automotive Engineering Technicians,2.B.5.c,Management of Material Resources,2.12,2
17-3027.01,Automotive Engineering Technicians,2.B.5.d,Management of Personnel Resources,2.38,2.25
17-3029.01,Non-Destructive Testing Specialists,2.A.1.a,Reading Comprehension,3.88,3.88
17-3029.01,Non-Destructive Testing Specialists,2.A.1.b,Active Listening,3.62,3.38
17-3029.01,Non-Destructive Testing Specialists,2.A.1.c,Writing,3.25,3.12
17-3029.01,Non-Destructive Testing Specialists,2.A.1.d,Speaking,3.12,3.12
17-3029.01,Non-Destructive Testing Specialists,2.A.1.e,Mathematics,3.12,3.12
17-3029.01,Non-Destructive Testing Specialists,2.A.1.f,Science,3,3
17-3029.01,Non-Destructive Testing Specialists,2.A.2.a,Critical Thinking,3.5,3.62
17-3029.01,Non-Destructive Testing Specialists,2.A.2.b,Active Learning,3.25,3.62
17-3029.01,Non-Destructive Testing Specialists,2.A.2.c,Learning Strategies,3.12,3.25
17-3029.01,Non-Destructive Testing Specialists,2.A.2.d,Monitoring,3.38,3.62
17-3029.01,Non-Destructive Testing Specialists,2.B.1.a,Social Perceptiveness,3,3
17-3029.01,Non-Destructive Testing Specialists,2.B.1.b,Coordination,3,2.88
17-3029.01,Non-Destructive Testing Specialists,2.B.1.c,Persuasion,2.5,2.5
17-3029.01,Non-Destructive Testing Specialists,2.B.1.d,Negotiation,2.5,2.25
17-3029.01,Non-Destructive Testing Specialists,2.B.1.e,Instructing,3,3
17-3029.01,Non-Destructive Testing Specialists,2.B.1.f,Service Orientation,2.62,2.5
17-3029.01,Non-Destructive Testing Specialists,2.B.2.i,Complex Problem Solving,3.12,3
17-3029.01,Non-Destructive Testing Specialists,2.B.3.a,Operations Analysis,1.75,0.88
17-3029.01,Non-Destructive Testing Specialists,2.B.3.b,Technology Design,1.75,0.88
17-3029.01,Non-Destructive Testing Specialists,2.B.3.c,Equipment Selection,2.62,2.38
17-3029.01,Non-Destructive Testing Specialists,2.B.3.d,Installation,1,0
17-3029.01,Non-Destructive Testing Specialists,2.B.3.e,Programming,1.5,0.62
17-3029.01,Non-Destructive Testing Specialists,2.B.3.g,Operations Monitoring,3.25,3.12
17-3029.01,Non-Destructive Testing Specialists,2.B.3.h,Operation and Control,3.12,3
17-3029.01,Non-Destructive Testing Specialists,2.B.3.j,Equipment Maintenance,2.62,2.75
17-3029.01,Non-Destructive Testing Specialists,2.B.3.k,Troubleshooting,3,2.88
17-3029.01,Non-Destructive Testing Specialists,2.B.3.l,Repairing,2,2
17-3029.01,Non-Destructive Testing Specialists,2.B.3.m,Quality Control Analysis,3.88,4
17-3029.01,Non-Destructive Testing Specialists,2.B.4.e,Judgment and Decision Making,3.12,3
17-3029.01,Non-Destructive Testing Specialists,2.B.4.g,Systems Analysis,3.12,3.12
17-3029.01,Non-Destructive Testing Specialists,2.B.4.h,Systems Evaluation,3.12,3
17-3029.01,Non-Destructive Testing Specialists,2.B.5.a,Time Management,3,2.88
17-3029.01,Non-Destructive Testing Specialists,2.B.5.b,Management of Financial Resources,1.5,0.5
17-3029.01,Non-Destructive Testing Specialists,2.B.5.c,Management of Material Resources,1.88,1.12
17-3029.01,Non-Destructive Testing Specialists,2.B.5.d,Management of Personnel Resources,2.75,3
17-3029.08,Photonics Technicians,2.A.1.a,Reading Comprehension,3.62,3.62
17-3029.08,Photonics Technicians,2.A.1.b,Active Listening,3.38,3.5
17-3029.08,Photonics Technicians,2.A.1.c,Writing,3.12,3.25
17-3029.08,Photonics Technicians,2.A.1.d,Speaking,3.12,3.12
17-3029.08,Photonics Technicians,2.A.1.e,Mathematics,2.5,2.62
17-3029.08,Photonics Technicians,2.A.1.f,Science,2.38,2.25
17-3029.08,Photonics Technicians,2.A.2.a,Critical Thinking,3.25,3.62
17-3029.08,Photonics Technicians,2.A.2.b,Active Learning,3.25,3.25
17-3029.08,Photonics Technicians,2.A.2.c,Learning Strategies,2.5,3
17-3029.08,Photonics Technicians,2.A.2.d,Monitoring,3.25,3.38
17-3029.08,Photonics Technicians,2.B.1.a,Social Perceptiveness,2.75,2.88
17-3029.08,Photonics Technicians,2.B.1.b,Coordination,2.75,3
17-3029.08,Photonics Technicians,2.B.1.c,Persuasion,2.38,2.5
17-3029.08,Photonics Technicians,2.B.1.d,Negotiation,2.25,2.25
17-3029.08,Photonics Technicians,2.B.1.e,Instructing,2.62,2.88
17-3029.08,Photonics Technicians,2.B.1.f,Service Orientation,2.62,2.75
17-3029.08,Photonics Technicians,2.B.2.i,Complex Problem Solving,3.25,3.5
17-3029.08,Photonics Technicians,2.B.3.a,Operations Analysis,2,1.5
17-3029.08,Photonics Technicians,2.B.3.b,Technology Design,2.5,2.38
17-3029.08,Photonics Technicians,2.B.3.c,Equipment Selection,2.75,3.25
17-3029.08,Photonics Technicians,2.B.3.d,Installation,2.88,3.5
17-3029.08,Photonics Technicians,2.B.3.e,Programming,2.25,1.62
17-3029.08,Photonics Technicians,2.B.3.g,Operations Monitoring,3.5,3.38
17-3029.08,Photonics Technicians,2.B.3.h,Operation and Control,2.75,3.12
17-3029.08,Photonics Technicians,2.B.3.j,Equipment Maintenance,3.25,3.12
17-3029.08,Photonics Technicians,2.B.3.k,Troubleshooting,3.25,3.5
17-3029.08,Photonics Technicians,2.B.3.l,Repairing,3,3
17-3029.08,Photonics Technicians,2.B.3.m,Quality Control Analysis,3.38,3.38
17-3029.08,Photonics Technicians,2.B.4.e,Judgment and Decision Making,3.12,3
17-3029.08,Photonics Technicians,2.B.4.g,Systems Analysis,2.88,3
17-3029.08,Photonics Technicians,2.B.4.h,Systems Evaluation,3,3
17-3029.08,Photonics Technicians,2.B.5.a,Time Management,3,3.12
17-3029.08,Photonics Technicians,2.B.5.b,Management of Financial Resources,2,1.5
17-3029.08,Photonics Technicians,2.B.5.c,Management of Material Resources,2,1.62
17-3029.08,Photonics Technicians,2.B.5.d,Management of Personnel Resources,2.5,2.5
17-3031.00,Surveying and Mapping Technicians,2.A.1.a,Reading Comprehension,3.5,3.69
17-3031.00,Surveying and Mapping Technicians,2.A.1.b,Active Listening,3.19,3
17-3031.00,Surveying and Mapping Technicians,2.A.1.c,Writing,3.12,3.44
17-3031.00,Surveying and Mapping Technicians,2.A.1.d,Speaking,3.19,3.06
17-3031.00,Surveying and Mapping Technicians,2.A.1.e,Mathematics,3.44,3.56
17-3031.00,Surveying and Mapping Technicians,2.A.1.f,Science,2.06,2.06
17-3031.00,Surveying and Mapping Technicians,2.A.2.a,Critical Thinking,3.5,3.12
17-3031.00,Surveying and Mapping Technicians,2.A.2.b,Active Learning,3.13,2.94
17-3031.00,Surveying and Mapping Technicians,2.A.2.c,Learning Strategies,2.81,2.94
17-3031.00,Surveying and Mapping Technicians,2.A.2.d,Monitoring,3,3
17-3031.00,Surveying and Mapping Technicians,2.B.1.a,Social Perceptiveness,2.88,2.81
17-3031.00,Surveying and Mapping Technicians,2.B.1.b,Coordination,3,3
17-3031.00,Surveying and Mapping Technicians,2.B.1.c,Persuasion,2.62,2.31
17-3031.00,Surveying and Mapping Technicians,2.B.1.d,Negotiation,2.38,2.25
17-3031.00,Surveying and Mapping Technicians,2.B.1.e,Instructing,2.88,3
17-3031.00,Surveying and Mapping Technicians,2.B.1.f,Service Orientation,2.69,2.62
17-3031.00,Surveying and Mapping Technicians,2.B.2.i,Complex Problem Solving,3.06,3
17-3031.00,Surveying and Mapping Technicians,2.B.3.a,Operations Analysis,2.37,2.19
17-3031.00,Surveying and Mapping Technicians,2.B.3.b,Technology Design,1.94,1
17-3031.00,Surveying and Mapping Technicians,2.B.3.c,Equipment Selection,1.69,1.06
17-3031.00,Surveying and Mapping Technicians,2.B.3.d,Installation,1,0
17-3031.00,Surveying and Mapping Technicians,2.B.3.e,Programming,1.94,1.62
17-3031.00,Surveying and Mapping Technicians,2.B.3.g,Operations Monitoring,2.87,2.62
17-3031.00,Surveying and Mapping Technicians,2.B.3.h,Operation and Control,2.5,2.56
17-3031.00,Surveying and Mapping Technicians,2.B.3.j,Equipment Maintenance,1.88,1.31
17-3031.00,Surveying and Mapping Technicians,2.B.3.k,Troubleshooting,2.25,1.88
17-3031.00,Surveying and Mapping Technicians,2.B.3.l,Repairing,1.69,1.06
17-3031.00,Surveying and Mapping Technicians,2.B.3.m,Quality Control Analysis,2.81,2.62
17-3031.00,Surveying and Mapping Technicians,2.B.4.e,Judgment and Decision Making,3.06,2.94
17-3031.00,Surveying and Mapping Technicians,2.B.4.g,Systems Analysis,2.75,2.56
17-3031.00,Surveying and Mapping Technicians,2.B.4.h,Systems Evaluation,2.62,2.5
17-3031.00,Surveying and Mapping Technicians,2.B.5.a,Time Management,3.06,3
17-3031.00,Surveying and Mapping Technicians,2.B.5.b,Management of Financial Resources,1.94,1.12
17-3031.00,Surveying and Mapping Technicians,2.B.5.c,Management of Material Resources,2,1.19
17-3031.00,Surveying and Mapping Technicians,2.B.5.d,Management of Personnel Resources,2.69,2.81
19-1011.00,Animal Scientists,2.A.1.a,Reading Comprehension,4.12,4.88
19-1011.00,Animal Scientists,2.A.1.b,Active Listening,3.88,4
19-1011.00,Animal Scientists,2.A.1.c,Writing,4,4.25
19-1011.00,Animal Scientists,2.A.1.d,Speaking,3.88,4.12
19-1011.00,Animal Scientists,2.A.1.e,Mathematics,3.38,3.88
19-1011.00,Animal Scientists,2.A.1.f,Science,4,4
19-1011.00,Animal Scientists,2.A.2.a,Critical Thinking,4,4.25
19-1011.00,Animal Scientists,2.A.2.b,Active Learning,3.88,4
19-1011.00,Animal Scientists,2.A.2.c,Learning Strategies,3.25,3.25
19-1011.00,Animal Scientists,2.A.2.d,Monitoring,3.75,3.88
19-1011.00,Animal Scientists,2.B.1.a,Social Perceptiveness,3.12,3.25
19-1011.00,Animal Scientists,2.B.1.b,Coordination,3.12,3.12
19-1011.00,Animal Scientists,2.B.1.c,Persuasion,3,3.12
19-1011.00,Animal Scientists,2.B.1.d,Negotiation,3,3
19-1011.00,Animal Scientists,2.B.1.e,Instructing,3,3.25
19-1011.00,Animal Scientists,2.B.1.f,Service Orientation,3,3
19-1011.00,Animal Scientists,2.B.2.i,Complex Problem Solving,4,4.12
19-1011.00,Animal Scientists,2.B.3.a,Operations Analysis,2.75,2.75
19-1011.00,Animal Scientists,2.B.3.b,Technology Design,1.88,1.12
19-1011.00,Animal Scientists,2.B.3.c,Equipment Selection,1.12,0.25
19-1011.00,Animal Scientists,2.B.3.d,Installation,1,0
19-1011.00,Animal Scientists,2.B.3.e,Programming,2,1.12
19-1011.00,Animal Scientists,2.B.3.g,Operations Monitoring,2.5,2.75
19-1011.00,Animal Scientists,2.B.3.h,Operation and Control,1.88,1.88
19-1011.00,Animal Scientists,2.B.3.j,Equipment Maintenance,1.12,0.12
19-1011.00,Animal Scientists,2.B.3.k,Troubleshooting,1.88,1
19-1011.00,Animal Scientists,2.B.3.l,Repairing,1,0
19-1011.00,Animal Scientists,2.B.3.m,Quality Control Analysis,2.75,2.75
19-1011.00,Animal Scientists,2.B.4.e,Judgment and Decision Making,4,4.5
19-1011.00,Animal Scientists,2.B.4.g,Systems Analysis,3.75,3.75
19-1011.00,Animal Scientists,2.B.4.h,Systems Evaluation,3.25,3.88
19-1011.00,Animal Scientists,2.B.5.a,Time Management,3.25,3.25
19-1011.00,Animal Scientists,2.B.5.b,Management of Financial Resources,2,1.62
19-1011.00,Animal Scientists,2.B.5.c,Management of Material Resources,2.25,2
19-1011.00,Animal Scientists,2.B.5.d,Management of Personnel Resources,3,3.12
19-1012.00,Food Scientists and Technologists,2.A.1.a,Reading Comprehension,4,4.25
19-1012.00,Food Scientists and Technologists,2.A.1.b,Active Listening,4,4
19-1012.00,Food Scientists and Technologists,2.A.1.c,Writing,4,4
19-1012.00,Food Scientists and Technologists,2.A.1.d,Speaking,3.88,4
19-1012.00,Food Scientists and Technologists,2.A.1.e,Mathematics,3.12,3.12
19-1012.00,Food Scientists and Technologists,2.A.1.f,Science,3.38,3.38
19-1012.00,Food Scientists and Technologists,2.A.2.a,Critical Thinking,3.88,4.25
19-1012.00,Food Scientists and Technologists,2.A.2.b,Active Learning,3.75,3.88
19-1012.00,Food Scientists and Technologists,2.A.2.c,Learning Strategies,3,3
19-1012.00,Food Scientists and Technologists,2.A.2.d,Monitoring,3.88,3.88
19-1012.00,Food Scientists and Technologists,2.B.1.a,Social Perceptiveness,3.12,3.12
19-1012.00,Food Scientists and Technologists,2.B.1.b,Coordination,3,3.5
19-1012.00,Food Scientists and Technologists,2.B.1.c,Persuasion,3,3.5
19-1012.00,Food Scientists and Technologists,2.B.1.d,Negotiation,3,3.38
19-1012.00,Food Scientists and Technologists,2.B.1.e,Instructing,3,3.5
19-1012.00,Food Scientists and Technologists,2.B.1.f,Service Orientation,3,3.12
19-1012.00,Food Scientists and Technologists,2.B.2.i,Complex Problem Solving,3.88,3.88
19-1012.00,Food Scientists and Technologists,2.B.3.a,Operations Analysis,2.25,1.88
19-1012.00,Food Scientists and Technologists,2.B.3.b,Technology Design,1.88,1.12
19-1012.00,Food Scientists and Technologists,2.B.3.c,Equipment Selection,1.62,0.75
19-1012.00,Food Scientists and Technologists,2.B.3.d,Installation,1,0
19-1012.00,Food Scientists and Technologists,2.B.3.e,Programming,1.62,0.88
19-1012.00,Food Scientists and Technologists,2.B.3.g,Operations Monitoring,2.88,3
19-1012.00,Food Scientists and Technologists,2.B.3.h,Operation and Control,2.12,2
19-1012.00,Food Scientists and Technologists,2.B.3.j,Equipment Maintenance,1,0
19-1012.00,Food Scientists and Technologists,2.B.3.k,Troubleshooting,2.12,2.12
19-1012.00,Food Scientists and Technologists,2.B.3.l,Repairing,1,0
19-1012.00,Food Scientists and Technologists,2.B.3.m,Quality Control Analysis,3.25,3.75
19-1012.00,Food Scientists and Technologists,2.B.4.e,Judgment and Decision Making,3.75,3.88
19-1012.00,Food Scientists and Technologists,2.B.4.g,Systems Analysis,3.25,3.75
19-1012.00,Food Scientists and Technologists,2.B.4.h,Systems Evaluation,3.25,3.62
19-1012.00,Food Scientists and Technologists,2.B.5.a,Time Management,3,3.75
19-1012.00,Food Scientists and Technologists,2.B.5.b,Management of Financial Resources,2,1.25
19-1012.00,Food Scientists and Technologists,2.B.5.c,Management of Material Resources,2,1.62
19-1012.00,Food Scientists and Technologists,2.B.5.d,Management of Personnel Resources,2.75,2.88
19-1013.00,Soil and Plant Scientists,2.A.1.a,Reading Comprehension,4,5
19-1013.00,Soil and Plant Scientists,2.A.1.b,Active Listening,3.88,4.12
19-1013.00,Soil and Plant Scientists,2.A.1.c,Writing,3.88,4.38
19-1013.00,Soil and Plant Scientists,2.A.1.d,Speaking,4,4.62
19-1013.00,Soil and Plant Scientists,2.A.1.e,Mathematics,3.25,3.88
19-1013.00,Soil and Plant Scientists,2.A.1.f,Science,4,4.88
19-1013.00,Soil and Plant Scientists,2.A.2.a,Critical Thinking,4,4.38
19-1013.00,Soil and Plant Scientists,2.A.2.b,Active Learning,4,4.5
19-1013.00,Soil and Plant Scientists,2.A.2.c,Learning Strategies,3.25,3.88
19-1013.00,Soil and Plant Scientists,2.A.2.d,Monitoring,3.25,4.12
19-1013.00,Soil and Plant Scientists,2.B.1.a,Social Perceptiveness,3,3
19-1013.00,Soil and Plant Scientists,2.B.1.b,Coordination,3,3
19-1013.00,Soil and Plant Scientists,2.B.1.c,Persuasion,2.88,3.12
19-1013.00,Soil and Plant Scientists,2.B.1.d,Negotiation,2.75,2.75
19-1013.00,Soil and Plant Scientists,2.B.1.e,Instructing,3.12,3.12
19-1013.00,Soil and Plant Scientists,2.B.1.f,Service Orientation,2.88,2.88
19-1013.00,Soil and Plant Scientists,2.B.2.i,Complex Problem Solving,3.88,4.25
19-1013.00,Soil and Plant Scientists,2.B.3.a,Operations Analysis,3,3.75
19-1013.00,Soil and Plant Scientists,2.B.3.b,Technology Design,1.75,1.5
19-1013.00,Soil and Plant Scientists,2.B.3.c,Equipment Selection,1,0
19-1013.00,Soil and Plant Scientists,2.B.3.d,Installation,1,0
19-1013.00,Soil and Plant Scientists,2.B.3.e,Programming,2.12,2
19-1013.00,Soil and Plant Scientists,2.B.3.g,Operations Monitoring,2.75,2.88
19-1013.00,Soil and Plant Scientists,2.B.3.h,Operation and Control,2.25,2.25
19-1013.00,Soil and Plant Scientists,2.B.3.j,Equipment Maintenance,1,0
19-1013.00,Soil and Plant Scientists,2.B.3.k,Troubleshooting,1.75,1
19-1013.00,Soil and Plant Scientists,2.B.3.l,Repairing,1,0
19-1013.00,Soil and Plant Scientists,2.B.3.m,Quality Control Analysis,3,3
19-1013.00,Soil and Plant Scientists,2.B.4.e,Judgment and Decision Making,3.75,4.25
19-1013.00,Soil and Plant Scientists,2.B.4.g,Systems Analysis,3.5,3.88
19-1013.00,Soil and Plant Scientists,2.B.4.h,Systems Evaluation,3.5,3.88
19-1013.00,Soil and Plant Scientists,2.B.5.a,Time Management,2.88,2.88
19-1013.00,Soil and Plant Scientists,2.B.5.b,Management of Financial Resources,2,1.62
19-1013.00,Soil and Plant Scientists,2.B.5.c,Management of Material Resources,2,2
19-1013.00,Soil and Plant Scientists,2.B.5.d,Management of Personnel Resources,2.75,2.62
19-1021.00,Biochemists and Biophysicists,2.A.1.a,Reading Comprehension,4.38,5.25
19-1021.00,Biochemists and Biophysicists,2.A.1.b,Active Listening,4.12,4.38
19-1021.00,Biochemists and Biophysicists,2.A.1.c,Writing,4.25,5.12
19-1021.00,Biochemists and Biophysicists,2.A.1.d,Speaking,4.12,4.62
19-1021.00,Biochemists and Biophysicists,2.A.1.e,Mathematics,3.88,4.75
19-1021.00,Biochemists and Biophysicists,2.A.1.f,Science,4.75,5.12
19-1021.00,Biochemists and Biophysicists,2.A.2.a,Critical Thinking,4.25,5.12
19-1021.00,Biochemists and Biophysicists,2.A.2.b,Active Learning,4.12,5.25
19-1021.00,Biochemists and Biophysicists,2.A.2.c,Learning Strategies,4,4.38
19-1021.00,Biochemists and Biophysicists,2.A.2.d,Monitoring,3.88,4.25
19-1021.00,Biochemists and Biophysicists,2.B.1.a,Social Perceptiveness,3,3.12
19-1021.00,Biochemists and Biophysicists,2.B.1.b,Coordination,3,3.12
19-1021.00,Biochemists and Biophysicists,2.B.1.c,Persuasion,3,3
19-1021.00,Biochemists and Biophysicists,2.B.1.d,Negotiation,2.5,2.25
19-1021.00,Biochemists and Biophysicists,2.B.1.e,Instructing,3.62,4.38
19-1021.00,Biochemists and Biophysicists,2.B.1.f,Service Orientation,2.5,2.62
19-1021.00,Biochemists and Biophysicists,2.B.2.i,Complex Problem Solving,4.12,4.25
19-1021.00,Biochemists and Biophysicists,2.B.3.a,Operations Analysis,3.12,3.62
19-1021.00,Biochemists and Biophysicists,2.B.3.b,Technology Design,2.12,2.88
19-1021.00,Biochemists and Biophysicists,2.B.3.c,Equipment Selection,2.25,2.38
19-1021.00,Biochemists and Biophysicists,2.B.3.d,Installation,1.12,0.12
19-1021.00,Biochemists and Biophysicists,2.B.3.e,Programming,2.25,2.75
19-1021.00,Biochemists and Biophysicists,2.B.3.g,Operations Monitoring,2.75,2.75
19-1021.00,Biochemists and Biophysicists,2.B.3.h,Operation and Control,2.12,2.12
19-1021.00,Biochemists and Biophysicists,2.B.3.j,Equipment Maintenance,1.88,1.12
19-1021.00,Biochemists and Biophysicists,2.B.3.k,Troubleshooting,1.88,1.38
19-1021.00,Biochemists and Biophysicists,2.B.3.l,Repairing,1.75,1.12
19-1021.00,Biochemists and Biophysicists,2.B.3.m,Quality Control Analysis,3,3.25
19-1021.00,Biochemists and Biophysicists,2.B.4.e,Judgment and Decision Making,4,4.25
19-1021.00,Biochemists and Biophysicists,2.B.4.g,Systems Analysis,3.38,4
19-1021.00,Biochemists and Biophysicists,2.B.4.h,Systems Evaluation,3.12,4
19-1021.00,Biochemists and Biophysicists,2.B.5.a,Time Management,2.88,3.5
19-1021.00,Biochemists and Biophysicists,2.B.5.b,Management of Financial Resources,1.88,1.62
19-1021.00,Biochemists and Biophysicists,2.B.5.c,Management of Material Resources,2,2
19-1021.00,Biochemists and Biophysicists,2.B.5.d,Management of Personnel Resources,3,3
19-1022.00,Microbiologists,2.A.1.a,Reading Comprehension,4.12,5.25
19-1022.00,Microbiologists,2.A.1.b,Active Listening,4,4
19-1022.00,Microbiologists,2.A.1.c,Writing,4.12,4.75
19-1022.00,Microbiologists,2.A.1.d,Speaking,3.88,4
19-1022.00,Microbiologists,2.A.1.e,Mathematics,3,3.88
19-1022.00,Microbiologists,2.A.1.f,Science,4.5,5
19-1022.00,Microbiologists,2.A.2.a,Critical Thinking,4,4.5
19-1022.00,Microbiologists,2.A.2.b,Active Learning,3.88,4.5
19-1022.00,Microbiologists,2.A.2.c,Learning Strategies,3.62,3.88
19-1022.00,Microbiologists,2.A.2.d,Monitoring,3.75,3.88
19-1022.00,Microbiologists,2.B.1.a,Social Perceptiveness,3,3.25
19-1022.00,Microbiologists,2.B.1.b,Coordination,3.12,3.62
19-1022.00,Microbiologists,2.B.1.c,Persuasion,2.88,2.75
19-1022.00,Microbiologists,2.B.1.d,Negotiation,2.88,2.75
19-1022.00,Microbiologists,2.B.1.e,Instructing,3.12,3.88
19-1022.00,Microbiologists,2.B.1.f,Service Orientation,3,3
19-1022.00,Microbiologists,2.B.2.i,Complex Problem Solving,3.5,4
19-1022.00,Microbiologists,2.B.3.a,Operations Analysis,3,3
19-1022.00,Microbiologists,2.B.3.b,Technology Design,2.12,1.38
19-1022.00,Microbiologists,2.B.3.c,Equipment Selection,1.88,1.12
19-1022.00,Microbiologists,2.B.3.d,Installation,1,0
19-1022.00,Microbiologists,2.B.3.e,Programming,2,2.12
19-1022.00,Microbiologists,2.B.3.g,Operations Monitoring,2.88,2.88
19-1022.00,Microbiologists,2.B.3.h,Operation and Control,2.62,2.5
19-1022.00,Microbiologists,2.B.3.j,Equipment Maintenance,1,0
19-1022.00,Microbiologists,2.B.3.k,Troubleshooting,2,1.88
19-1022.00,Microbiologists,2.B.3.l,Repairing,1,0
19-1022.00,Microbiologists,2.B.3.m,Quality Control Analysis,2.75,3
19-1022.00,Microbiologists,2.B.4.e,Judgment and Decision Making,3.75,4.12
